

------------------------------------------------------------
Application started
11:52:32.748: (I) 13732: main::lambda()                          : Internet STATUS: false
11:52:47.734: (I) 13732: main::lambda()                          : Internet STATUS: true
11:57:04.515: (I) 13732: main::lambda()                          : Internet STATUS: false
11:57:04.533: (I) 13732: main::lambda()                          : Internet STATUS: false
11:57:06.389: (I) 13732: main::lambda()                          : Internet STATUS: false
11:57:06.553: (I) 13732: main::lambda()                          : Internet STATUS: false
11:57:06.558: (I) 13732: main::lambda()                          : Internet STATUS: false
11:57:07.014: (I) 13732: main::lambda()                          : Internet STATUS: true
12:06:33.321: (I) 13732: main::lambda()                          : Internet STATUS: false
12:06:33.974: (I) 13732: main::lambda()                          : Internet STATUS: false
12:06:34.178: (I) 13732: main::lambda()                          : Internet STATUS: false
12:06:34.183: (I) 13732: main::lambda()                          : Internet STATUS: false
12:06:34.701: (I) 13732: main::lambda()                          : Internet STATUS: true
12:06:36.183: (I) 13732: main::lambda()                          : Internet STATUS: false
12:06:48.891: (I) 13732: main::lambda()                          : Internet STATUS: false
12:07:09.193: (I) 13732: main::lambda()                          : Internet STATUS: false
12:07:13.363: (I) 13732: main::lambda()                          : Internet STATUS: false
12:07:21.899: (I) 13732: main::lambda()                          : Internet STATUS: false
12:08:19.652: (I) 13732: main::lambda()                          : Internet STATUS: false
12:08:19.666: (I) 13732: main::lambda()                          : Internet STATUS: false
12:09:20.926: (I) 13732: main::lambda()                          : Internet STATUS: false
12:09:47.888: (I) 13732: main::lambda()                          : Internet STATUS: false
12:12:17.753: (I) 13732: main::lambda()                          : Internet STATUS: true
13:55:03.695: (I) 13732: main::lambda()                          : Internet STATUS: false
13:55:03.695: (I) 13732: main::lambda()                          : Internet STATUS: true
13:55:03.715: (I) 13732: main::lambda()                          : Internet STATUS: false
13:55:03.945: (I) 13732: main::lambda()                          : Internet STATUS: true
16:25:02.464: (I) 13732: main::lambda()                          : Internet STATUS: false
16:25:02.591: (I) 13732: main::lambda()                          : Internet STATUS: true
17:37:01.344: (I) 13732: main::lambda()                          : Internet STATUS: false
17:37:01.873: (I) 13732: main::lambda()                          : Internet STATUS: true
19:52:10.200: (I) 13732: main::lambda()                          : Internet STATUS: false
19:52:10.200: (I) 13732: main::lambda()                          : Internet STATUS: true
11:58:58.757: (I) 13732: main::lambda()                          : Internet STATUS: false
11:58:58.982: (I) 13732: main::lambda()                          : Internet STATUS: false
